Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|mantris417|N-Metilformamida urinária|N-Metilformamida||LABORATORIAL|URINA||||||UPDATE|
|mantris8560|P-aminofenol (para anilina)|P-aminofenol||LABORATORIAL|URINA|||40313212|28150201|40313212|UPDATE|
|migra78|Paraminofenol Urinário|Paraminofenol||LABORATORIAL|URINA||||||UPDATE|
|23|Pentaclorofenol - Urina|Pentaclorofenol||LABORATORIAL|URINA||||||UPDATE|
|mantris4090|Perfil lipídico/lipidograma|Lipidograma Completo Inclui Lipidios Totais,col. Tri./eletrof.de Popro||LABORATORIAL|SANGUE|||40302750|28011104|40302750|UPDATE|
|40316238|Perfil Toxicologico (Cocaina,Maconha,Opiaceos,Anfetaminas,Ecstasy,Fenicicli)|Perfil Toxicológico (Coca,Maconha,Opiaceos,Anfet,Ecstasy,Fenicicli), urina||LABORATORIAL|URINA||||||UPDATE|
|mantris8979|Pesquisa Urinária de Barbitúricos|Pesquisa Urinária de Barbitúricos||LABORATORIAL|URINA||||||UPDATE|Inativar = Perfil toxicologico
|mantris8975|Pesquisa Urinária de Cocaína/Benzoilecgonina|Pesquisa Urinária de Cocaína/Benzoilecgonina||LABORATORIAL|URINA||||||UPDATE|Inativar = Perfil toxicologico
|28.04.056-2|Plaquetas (contagem)|Plaquetas (contagem)||LABORATORIAL|SANGUE||||||UPDATE|Inativar = Perfil toxicologico
|mantris9049|Triagem de Maconha na Urina|Triagem de Maconha na Urina||LABORATORIAL|URINA||||||UPDATE|Inativar = Perfil toxicologico
|10111011|Dosagem de Anfetaminas|Anfetaminas, urina||LABORATORIAL|URINA|||40301338||40301338|UPDATE|
|10003|Perfil Toxicologico Anfetaminas|Anfetaminas, queratina||LABORATORIAL|QUERATINA|||40301338||40301338|UPDATE|
|40301745|Perfil toxicologico Benzodiazepinico|Benzodiazepínicos e similares||LABORATORIAL|URINA|||40301745||40301745|UPDATE|
|40301575|Dosagem Cocaina|Cocaína, sangue||LABORATORIAL|SANGUE|||40301575||40301575|UPDATE|
|10000|Perfil Toxicologico Cocaína|Cocaína, queratina||LABORATORIAL|URINA|||40301575||40301575|UPDATE|
|10004|Perfil Toxicologico Ecstasy|Ecstasy, queratina||LABORATORIAL|URINA||||||UPDATE|
|100005|Perfil Toxicologico Fenicicli|Fenicicli, queratina||LABORATORIAL|URINA||||||UPDATE|
|100001|Perfil Toxicologico Maconha|Maconha, queratina||LABORATORIAL|URINA||||||UPDATE|
|10002|Perfil Toxicologico Opiaceos|Opiaceos, queratina||LABORATORIAL|URINA||||||UPDATE|
|28040600|PESQUISA DE HEMATOZOÁRIOS EM GOTA ESPESSA|Pesq Médica - Hematozoários em gota espessa||LABORATORIAL|SANGUE||||||UPDATE|
|mantris8558|Plasmódio, pesquisa|Pesquisa de Plasmódio||LABORATORIAL|SANGUE|||40304477|28040600|40304477|UPDATE|
|28011210|Potássio|Potássio||LABORATORIAL|SANGUE|||40302318|28011210|40302318|UPDATE|
|mantris4468|PPD (tuberculina), IDeR|PPD||LABORATORIAL|TESTE CUTÂNEO|||40307638||40307638|UPDATE|
|mantris9011|Progesterona|Progesterona Plasmática (RIE)||LABORATORIAL|SANGUE|||40316408|31120300|40316408|UPDATE|
|28.05.043-6|Prolactina|Prolactina (RIE)||LABORATORIAL|SANGUE|||40316416|31120326|40316416|UPDATE|
|mantris8943|Proteína C reativa, qualitativa|Proteina C Reativa, Determinacao Qualitativa||LABORATORIAL|SANGUE|||40308383||40308383|UPDATE|
|mantris8720|Proteína C reativa, quantitativa|Proteina C reativa, Determinacao Quantitativa||LABORATORIAL|SANGUE|||40308391||40308391|UPDATE|
|mantris8721|Proteínas totais albumina e globulina|Proteínas Totais e Frações - (PTF)||LABORATORIAL|SORO|||40302385||40302385|UPDATE|
|mantris4044|Protoparasitológico das fezes (PPF)|Parasitológico de Fezes (PPF)||LABORATORIAL|FEZES|||40303110|28030141|40303110|UPDATE|
|mantris8766|Protoporfirina eritrocitária livre - zinco|ZPP (Zinco Protoporfirina Eritrocitária)||LABORATORIAL|SANGUE|||40304523|28040910|40304523|UPDATE|
|mantris8722|Protoporfirinas livres (para chumbo inorgânico)|Protoporfirinas Livres (para chumbo inorgânico)||LABORATORIAL|SANGUE|||40313239|28150228|40313239|UPDATE|
|mantris8723|Protoporfirinas Zn (para chumbo inorgânico)|Protoporfirinas ZN (para chumbo inorgânico)||LABORATORIAL|SANGUE|||40313247|28150236|40313247|UPDATE|
|mantris8729|Provas de função tireoideana (T3, T4, índices e TSH)|Provas de Função Tireoideana (T3,T4, indices e TSH)||LABORATORIAL|SANGUE|||40305627|28050762|40305627|UPDATE|
|mantris9991|Prova de Função Hepática|Prova de Função Hepática||LABORATORIAL|SANGUE||||||UPDATE|Inativar: exames na tabela em separado
|mantris4471|Reticulócitos, contagem|Reticulócitos, contagem||LABORATORIAL|SANGUE|||40304558|28040660|40304558|UPDATE|
